Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",140.677500,-70.104000,0.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.074500,-73.152000,180.000000,top
"C3","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",149.352000,-48.298500,90.000000,top
"C4","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",162.521500,-70.104000,0.000000,top
"IC1","ESP32-WROOM-32UE-N8R2","ESP32WROOM32UEN8R2",161.962800,-57.214000,0.000000,top
"IC2","RESET","TS026650BK100SCRD",150.166000,-73.950000,0.000000,top
"IC3","BOOT","TS026650BK100SCRD",162.358000,-73.950000,0.000000,top
"J1","Conn_01x06_Socket","PinSocket_1x06_P2.54mm_Vertical",176.276000,-54.152800,0.000000,top
"J2","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",136.855200,-50.128800,0.000000,top
"J3","Conn_01x02_Socket","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",141.966000,-77.233000,180.000000,top
"J4","I2S OUT","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",143.510000,-63.855600,90.000000,top
"R1","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.812000,-78.335500,90.000000,top
"R2","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",172.212000,-78.232000,90.000000,top
"R3","22R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.506300,-59.780800,0.000000,top
"R4","22R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.506300,-61.406400,0.000000,top
"R5","22R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.530800,-69.837300,90.000000,top
"U1","LD1117","SOT-223-3_TabPin2",134.112000,-67.056000,90.000000,top
